employee_length,loan_amnt,term,int_rate,installment,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,default
0,70000,36,2.5,1000.01,-2,55000,-1,-3,52.1,0,0,10,1,5000,52.1,8,0
1,70000,36,2.5,100.01,0,7000,-1,-10,6.6,0,0,7,1,1687,6.6,4,0
2,6000,60,12.96,1000.01,-2,15000,-2,-11,2.2,160,7,0,1,2956,2.2,1,0
3,6000,60,12.49,1000.01,-2,15000,-2,-13,2.2,0,0,3,1,5598,2.2,8,0
39641,3000,60,12.69,67.79,-2,80000,-1,-8,17.94,0,0,15,0,27783,53.9,38,0
5,10000,36,7.9,156.46,0,36000,-1,-2,11.2,0,3,9,0,7963,28.3,12,0
6,7000,60,15.96,170.08,0,47004,0,0,23.51,0,1,7,0,17726,85.6,11,0
7,65000,36,18.64,109.43,0,48000,-1,-3,5.35,0,2,4,0,8221,87.5,4,0
8,5600,60,21.28,152.39,-2,40000,-1,-5,5.55,0,2,11,0,5210,32.6,13,1
9,5375,60,12.69,121.45,0,15000,-2,-8,18.08,0,0,2,0,9279,36.5,3,1
10,6500,60,14.65,153.45,-2,72000,0,0,16.12,0,2,14,0,4032,20.6,23,0
11,12000,36,12.69,402.54,-2,75000,-1,0,10.78,0,0,12,0,23336,67.1,34,0
12,9000,36,13.49,305.38,0,30000,-1,0,10.08,0,1,4,0,10452,91.7,9,1
13,3000,36,9.91,96.68,0,15000,-1,-7,12.56,0,2,11,0,7323,43.1,11,0
32976,70000,36,2.5,1000.01,-2,55000,-1,-3,52.1,0,0,10,1,5000,52.1,8,0
0,70000,36,2.5,1000.01,-2,55000,-1,-3,52.1,0,0,10,1,5000,52.1,8,0
0,70000,36,2.5,1000.01,-2,55000,-1,-3,52.1,0,0,10,1,5000,52.1,8,0
17,3600,36,6.03,109.57,-3,110000,0,-4,10.52,0,0,20,0,22836,16,42,0
18,6000,36,11.71,198.46,-3,84000,-2,-1,18.44,2,0,4,0,0,37.73,14,0
19,9200,36,6.03,280.01,0,77385.19,0,0,9.86,0,0,8,0,7314,23.1,28,0
20,20250,60,15.27,484.63,0,43370,-2,0,26.53,0,3,8,0,17813,85.6,22,0
21,21000,36,12.42,701.73,0,105000,-2,0,13.22,0,0,7,0,32135,90.3,38,1
22,10000,36,11.71,330.76,-2,50000,-1,-7,11.18,0,0,8,0,10056,82.4,21,0
23,10000,36,11.71,330.76,0,50000,0,0,16.01,0,0,6,0,17800,91.8,17,0
24,6000,36,11.71,198.46,0,76000,0,-4,2.4,0,1,7,0,5963,29.7,7,1
25,15000,36,9.91,483.38,-3,92000,-2,-7,29.44,0,0,8,0,13707,93.9,31,0
26,15000,36,14.27,514.64,0,60000,0,0,15.22,0,1,7,0,5872,57.6,11,1
27,5000,60,16.77,123.65,0,50004,0,-8,13.97,3,0,14,0,4345,59.5,22,1
28,4000,36,11.71,132.31,-3,106000,0,0,5.63,1,0,12,0,6110,37.7,44,0
29,8500,36,11.71,281.15,0,25000,-1,-7,12.19,0,0,8,0,6441,59.1,12,0
30,4375,36,7.51,136.11,-3,17108,-1,0,20.34,0,0,6,0,11210,86.9,12,0
31,31825,36,7.9,995.82,-3,75000,-2,0,14.03,0,0,12,0,23151,27.4,26,0
32,10000,60,15.96,242.97,0,29120,-2,0,22.83,0,1,11,0,16158,63.6,31,0
33,5000,36,8.9,158.77,0,24044,-2,0,11.93,0,0,8,0,2224,29.3,16,0
34,7000,36,15.96,245.97,0,34000,-1,-7,6.35,0,1,6,0,6113,60.5,6,0
35,12400,36,10.65,403.91,0,41000,0,-7,11.8,0,2,9,0,11095,57.2,12,0
36,10800,36,9.91,348.03,0,55596,-1,-12,5.5,0,0,7,0,2535,13.3,18,0
37,15000,36,7.9,469.36,0,45000,-2,0,8.48,0,0,7,0,6704,50.4,27,0
38,6000,36,12.42,200.5,0,36852,-1,0,10.62,0,1,7,0,7310,66.5,12,0
39,12500,60,12.69,282.44,0,27000,-2,0,16.04,0,3,6,0,10143,50,24,0
40,9600,36,7.51,298.67,0,68004,-1,-8,6.63,0,0,6,0,2896,18.1,11,0
41,12000,36,7.9,375.49,0,62300,0,0,16.7,0,0,15,0,8601,21,25,0
42,3000,36,18.25,108.84,-3,65000,0,-8,17.39,0,0,8,0,43936,98.1,22,0
43,4400,36,16.77,156.37,0,55000,0,0,20.01,0,0,7,0,25237,99,11,0
44,6000,36,6.03,182.62,-3,45600,0,0,5.34,0,1,6,0,3378,32.5,28,0
45,14000,36,9.91,451.15,0,80000,0,-5,10,0,1,7,0,2219,13.4,40,0
46,5000,36,8.9,158.77,-3,100000,-1,0,16.33,0,0,17,0,74351,62.1,35,1
47,10000,36,10.65,325.74,0,27000,-2,-8,11.47,0,0,7,0,7814,52.3,10,0
48,10000,36,6.03,304.36,0,60000,0,-7,12.74,0,1,11,0,14019,19.5,18,0
49,11000,36,6.62,337.75,0,70000,0,0,10.85,0,0,5,0,11638,36.4,7,0
50,15000,36,9.91,483.38,-3,80000,0,0,9.12,0,2,9,0,11845,63.7,28,1
51,25600,36,9.91,824.96,0,110000,-2,-7,15.71,0,0,11,0,26088,62,27,0
52,7000,36,10.65,228.02,0,40000,0,0,7.38,0,0,7,0,12168,92.9,12,0
53,12000,36,15.96,421.65,0,50000,0,-3,20.88,0,2,11,0,15793,90.8,11,1
54,12000,36,9.91,386.7,0,46000,0,-7,8.11,0,1,11,0,12143,52.1,12,0
55,21000,60,19.91,555.33,0,50000,-2,0,21.58,0,1,7,0,19448,97.6,14,1
56,16000,60,19.91,423.11,0,81000,-2,-7,20.52,0,3,12,0,27884,75.1,21,0
57,10000,36,12.42,334.16,-2,39000,0,0,18.58,0,0,5,0,12874,72.7,10,0
58,10000,36,10.65,325.74,0,51400,0,-7,19.14,0,3,10,0,10160,59.1,24,0
59,7100,36,16.77,252.33,-3,33000,-2,0,24,0,2,4,0,6021,91.2,8,0
60,13000,60,12.69,293.74,-3,30000,-1,0,13.72,0,0,17,0,17080,58.9,27,0
61,17500,60,17.27,223.74,0,40000,-2,-5,19.47,0,1,5,0,10724,58.9,6,0
62,17675,60,14.65,417.25,0,50000,-1,0,16.46,0,2,6,0,6661,57.4,14,0
63,8000,36,16.77,284.31,0,62000,0,0,21.64,0,3,14,0,6088,66.9,20,0
64,10000,60,10.65,215.69,0,45996,-2,0,21.73,0,1,7,0,11170,30.1,15,1
65,3500,36,10.65,114.01,-3,55000,0,0,5.39,0,1,9,0,6611,45.9,12,0
66,12500,60,17.27,223.11,0,30000,-1,0,13.16,0,0,7,1,9844,70.8,28,1
67,16425,36,14.27,563.53,0,44544,-1,0,22.71,0,1,10,0,15747,83.4,18,0
68,8200,60,21.28,223.14,0,75000,-1,-5,12.48,0,3,6,0,9012,73.9,11,1
69,15000,36,14.65,517.42,-2,61000,-2,-7,11.88,0,1,8,0,19397,79.5,18,0
70,20975,60,17.58,341.63,-3,44000,-2,-7,18.79,0,0,13,1,20657,79.4,21,0
71,6400,36,16.77,227.45,0,75000,0,0,20.22,0,0,9,0,7159,67.5,27,1
72,3000,36,13.49,101.8,0,33600,0,0,18.11,0,0,4,0,2745,83.2,7,0
73,12000,36,16.77,426.47,0,50000,0,-7,20.57,0,1,13,0,11443,97,19,0
74,14400,36,8.9,457.25,-2,150000,-1,0,14.85,0,0,12,0,63864,55,38,0
75,12000,36,14.65,413.94,0,90000,0,0,16.56,0,2,12,0,17116,78.5,36,0
76,11000,36,13.49,373.24,-3,48000,-2,0,21.82,0,3,15,0,11382,65,29,0
77,7250,60,21.67,197.51,0,75000,-2,0,24.82,0,2,9,1,21706,91.2,19,0
78,15000,36,7.9,469.36,-3,52000,0,-5,9.65,0,1,11,0,1616,6.7,29,0
79,18000,60,19.91,475.99,-3,65000,0,0,6.81,0,0,10,0,11745,77.8,40,0
80,35000,60,17.27,551.84,-3,150000,-2,-6,7.51,0,1,11,0,7334,53.3,31,0
81,10000,36,14.27,343.09,0,68000,-1,-7,15.39,0,1,9,0,11303,81.3,15,0
82,11800,36,12.69,395.83,0,42000,-1,-7,9.86,0,0,4,0,8940,74.8,13,0
83,4500,36,6.03,136.96,0,53000,-1,-4,4.44,0,0,7,0,8630,13.9,17,0
84,7000,36,12.69,234.82,0,35000,-1,-7,11.35,0,2,10,0,7649,82.3,26,0
85,9200,36,12.42,307.43,0,60000,-1,0,19.96,0,3,8,0,23299,78.7,19,0
86,14000,60,17.27,349.98,0,28000,-2,-8,6.34,0,2,5,0,6986,79.4,10,0
87,4500,60,10.65,97.06,-3,42000,-1,-3,5.4,0,0,4,0,8220,78.3,9,0
88,12000,36,16.29,423.61,0,88365,-2,0,16.85,0,0,6,0,22936,96.4,15,0
89,12000,36,13.49,407.17,0,72000,-1,0,21.33,0,1,11,0,3419,27.6,19,0
90,12000,36,10.65,390.88,0,62000,-2,-7,23.94,0,0,10,0,20310,78.4,51,0
91,7000,36,10.65,228.02,-3,43680,0,-7,5.38,0,0,7,0,6245,78.1,11,0
92,8200,60,19.42,214.62,0,120000,-1,0,2.8,0,2,5,0,10392,88.4,6,0
93,10500,36,12.69,352.23,0,66000,-2,-1,20.73,1,2,8,0,5790,51.2,26,0
94,7000,36,11.71,231.54,-2,39120,0,0,21.01,0,0,8,1,9414,52.4,26,0
95,15300,60,22.06,423.1,0,85000,-2,-7,20.58,0,2,14,0,26524,89.7,27,0
96,20000,60,11.71,282.86,-3,47800,-2,0,10.04,0,0,15,0,16447,46.3,27,0
97,17500,60,17.27,437.47,-3,45000,0,-7,21.31,0,2,13,0,20129,86.1,26,1
98,3500,36,6.03,106.53,-3,83000,-2,-3,2.31,0,0,6,0,3092,13.4,28,0
99,6000,60,12.69,135.57,0,81000,-1,-4,13.66,1,0,6,0,15102,50,17,0
100,6200,36,9.91,199.8,0,25000,0,0,20.64,0,2,7,0,6533,47.7,12,1
101,16000,60,17.58,402.65,0,65000,0,0,15.56,0,0,8,0,21166,87.1,16,0
102,6000,36,8.9,190.52,-2,28800,0,0,13.17,0,0,11,0,5269,36.8,13,0
103,7200,36,9.91,232.02,0,135000,0,-7,6.12,0,0,7,0,16627,79.6,18,0
104,9500,36,8.9,301.66,-3,50000,0,-7,8.18,0,0,8,0,13422,60.5,13,0
105,18825,60,16.77,465.53,0,38000,-2,0,23.18,0,0,6,0,11004,79.7,7,1
106,24000,36,10.65,781.76,0,45000,-2,0,14.8,0,0,5,0,24708,55.2,9,0
107,6000,36,13.49,203.59,0,80000,0,0,11.58,0,0,8,0,15499,83.8,16,0
108,6000,36,13.49,203.59,0,50000,0,0,15.38,0,1,6,0,15191,91.5,7,0
109,2100,36,12.42,70.18,-3,30000,0,-11,19.72,0,1,12,0,12183,82.9,26,0
110,5500,36,6.62,168.88,-3,110000,-2,-5,9.69,0,0,7,0,14136,21.9,26,0
111,11000,36,6.62,337.75,-2,45608,-1,0,20.5,0,0,7,0,10677,58.7,11,0
112,26800,60,20.89,723.38,-3,120000,-2,0,12.15,0,0,13,0,14772,48,18,0
113,8000,36,12.69,268.36,-3,35000,0,0,10.05,0,0,7,0,6842,97.7,18,0
114,10000,36,18.25,362.78,0,75000,-1,-7,24.14,0,0,9,0,22828,96.3,26,1
115,8000,36,11.71,264.61,-3,35000,-2,-7,9.7,0,0,7,0,6142,46.5,8,0
116,10000,36,8.9,317.54,0,24000,-2,0,7,0,0,6,0,6734,49.5,21,0
117,12000,36,11.71,396.92,-3,126000,0,0,13.32,0,0,17,0,32711,54.1,38,0
118,10000,36,7.9,312.91,0,43000,0,0,25.26,0,0,8,0,8215,37.2,16,0
119,12000,36,9.91,386.7,0,50000,0,0,16.44,0,1,11,0,14335,29.3,25,0
120,25000,60,13.49,575.12,-3,67000,-2,-7,14.15,0,0,6,0,15319,91.2,21,1
121,19750,36,10.65,643.33,0,45000,-2,0,22.8,0,0,12,0,16576,54.2,28,1
122,10000,36,9.91,322.25,0,31200,-1,0,14.81,0,0,13,0,5540,27,19,0
123,13650,36,12.42,456.12,0,66000,-2,0,24.09,0,0,11,0,8933,56.5,34,0
124,28000,60,19.91,312.04,0,52000,-2,0,20.7,0,0,10,0,29178,87.6,16,1
125,18000,36,7.9,563.23,0,56964,-1,0,27.55,0,0,7,0,17381,76.6,20,0
126,2500,36,14.27,85.78,0,49500,-1,0,10.33,0,1,7,0,9868,37.7,20,0
127,21000,60,20.3,559.89,0,70000,-2,-7,23.21,0,2,17,0,12508,70.7,25,0
128,35000,36,8.9,1111.37,-3,125000,-2,0,22.71,0,0,8,0,9051,34.8,32,0
129,10000,36,7.51,311.11,0,33000,0,-7,9.75,0,1,9,0,68,0.6,19,0
130,7000,36,12.69,234.82,0,30000,-1,-7,15.8,0,2,7,0,15455,47.6,11,0
131,24000,36,15.96,843.3,-3,90000,-1,-6,9.17,0,1,9,0,30952,71.2,23,1
132,10625,36,7.51,330.56,-3,23000,0,-1,18.89,0,1,9,0,7114,43.4,21,0
133,5000,36,14.65,172.48,0,24000,-1,0,18.3,0,2,5,0,2429,33.3,9,0
134,8850,36,6.62,271.73,0,62000,-1,-7,17.71,0,0,7,0,9466,35.9,19,0
135,6375,36,7.51,198.34,0,44000,-1,0,4.8,0,0,7,0,6324,58,11,0
136,6000,36,11.71,198.46,0,90000,0,-7,2.97,1,0,10,0,8489,56.6,23,0
137,11100,36,6.62,340.82,0,41000,-2,-7,29.85,0,1,8,0,17518,62.3,18,1
138,10000,60,12.69,225.95,-3,56000,-1,0,10.82,0,1,11,0,10081,31.2,18,0
